Type;Sort;Size;Time(ns)
basic mass;bubble(Ayverson2) sort;1900;9908970
basic mass;selection sort;1900;6035080
basic mass;insertion sort;1900;3316070
basic mass;binary insertion sort;1900;3238710
basic mass;counting sort;1900;14150
basic mass;radix sort;1900;23250
basic mass;quick sort;1900;468050
basic mass;merge sort;1900;734420
basic mass;heap sort;1900;257780
basic mass;shell(Ciur) sort;1900;107740
basic mass;shell sort;1900;135130
basic mass;bubble sort;2000;12589940
basic mass;bubble(Ayverson1) sort;2000;18172910
basic mass;bubble(Ayverson2) sort;2000;11371370
basic mass;selection sort;2000;6306390
basic mass;insertion sort;2000;4094010
basic mass;binary insertion sort;2000;2913800
basic mass;counting sort;2000;14380
basic mass;radix sort;2000;26960
basic mass;quick sort;2000;480040
basic mass;merge sort;2000;740360
basic mass;heap sort;2000;252090
basic mass;shell(Ciur) sort;2000;111600
basic mass;shell sort;2000;143040
basic mass;bubble sort;2100;15219770
basic mass;bubble(Ayverson1) sort;2100;23536410
basic mass;bubble(Ayverson2) sort;2100;12970410
basic mass;selection sort;2100;7344170
basic mass;insertion sort;2100;4039640
basic mass;binary insertion sort;2100;3254400
basic mass;counting sort;2100;16310
basic mass;radix sort;2100;26930
basic mass;quick sort;2100;754900
basic mass;merge sort;2100;962910
basic mass;heap sort;2100;268300
basic mass;shell(Ciur) sort;2100;117150
basic mass;shell sort;2100;163510
basic mass;bubble sort;2200;16214400
basic mass;bubble(Ayverson1) sort;2200;23398180
basic mass;bubble(Ayverson2) sort;2200;13707460
basic mass;selection sort;2200;7686930
basic mass;insertion sort;2200;4574020
basic mass;binary insertion sort;2200;3796500
basic mass;counting sort;2200;15310
basic mass;radix sort;2200;28860
basic mass;quick sort;2200;692950
basic mass;merge sort;2200;794930
basic mass;heap sort;2200;272850
basic mass;shell(Ciur) sort;2200;124630
basic mass;shell sort;2200;185710
basic mass;bubble sort;2300;17792770
basic mass;bubble(Ayverson1) sort;2300;25456140
basic mass;bubble(Ayverson2) sort;2300;16947250
basic mass;selection sort;2300;9012320
basic mass;insertion sort;2300;5330530
basic mass;binary insertion sort;2300;3901400
basic mass;counting sort;2300;21030
basic mass;radix sort;2300;28660
basic mass;quick sort;2300;721730
basic mass;merge sort;2300;902730
basic mass;heap sort;2300;317350
basic mass;shell(Ciur) sort;2300;129120
basic mass;shell sort;2300;173750
basic mass;bubble sort;2400;19037390
basic mass;bubble(Ayverson1) sort;2400;33698330
basic mass;bubble(Ayverson2) sort;2400;18746930
basic mass;selection sort;2400;10905720
basic mass;insertion sort;2400;5719010
basic mass;binary insertion sort;2400;4023640
basic mass;counting sort;2400;18260
basic mass;radix sort;2400;31240
basic mass;quick sort;2400;1470640
basic mass;merge sort;2400;921340
basic mass;heap sort;2400;310690
basic mass;shell(Ciur) sort;2400;146450
basic mass;shell sort;2400;194830
basic mass;bubble sort;2500;21619730
basic mass;bubble(Ayverson1) sort;2500;32643660
basic mass;bubble(Ayverson2) sort;2500;18794130
basic mass;selection sort;2500;10957240
basic mass;insertion sort;2500;6351530
basic mass;binary insertion sort;2500;4736530
basic mass;counting sort;2500;18340
basic mass;radix sort;2500;32720
basic mass;quick sort;2500;903190
basic mass;merge sort;2500;975220
basic mass;heap sort;2500;325920
basic mass;shell(Ciur) sort;2500;144690
basic mass;shell sort;2500;200480
basic mass;bubble sort;2600;22991670
basic mass;bubble(Ayverson1) sort;2600;34894530
basic mass;bubble(Ayverson2) sort;2600;19435140
basic mass;selection sort;2600;10650460
basic mass;insertion sort;2600;6829440
basic mass;binary insertion sort;2600;5161100
basic mass;counting sort;2600;21370
basic mass;radix sort;2600;31850
basic mass;quick sort;2600;835020
basic mass;merge sort;2600;1138900
basic mass;heap sort;2600;335660
basic mass;shell(Ciur) sort;2600;145170
basic mass;shell sort;2600;202030
basic mass;bubble sort;2700;25442810
basic mass;bubble(Ayverson1) sort;2700;35586280
basic mass;bubble(Ayverson2) sort;2700;21557470
basic mass;selection sort;2700;11712710
basic mass;insertion sort;2700;7696290
basic mass;binary insertion sort;2700;5739750
basic mass;counting sort;2700;21180
basic mass;radix sort;2700;35440
basic mass;quick sort;2700;988110
basic mass;merge sort;2700;1046900
basic mass;heap sort;2700;383120
basic mass;shell(Ciur) sort;2700;158130
basic mass;shell sort;2700;223250
basic mass;bubble sort;2800;25404690
basic mass;bubble(Ayverson1) sort;2800;41627860
basic mass;bubble(Ayverson2) sort;2800;25137780
basic mass;selection sort;2800;12606820
basic mass;insertion sort;2800;7370680
basic mass;binary insertion sort;2800;5617020
basic mass;counting sort;2800;19740
basic mass;radix sort;2800;35820
basic mass;quick sort;2800;959320
basic mass;merge sort;2800;1082470
basic mass;heap sort;2800;361130
basic mass;shell(Ciur) sort;2800;167470
basic mass;shell sort;2800;219640
basic mass;bubble sort;2900;27444610
basic mass;bubble(Ayverson1) sort;2900;41026820
basic mass;bubble(Ayverson2) sort;2900;23790110
basic mass;selection sort;2900;15426780
basic mass;insertion sort;2900;8218220
basic mass;binary insertion sort;2900;5914850
basic mass;counting sort;2900;22680
basic mass;radix sort;2900;44890
basic mass;quick sort;2900;1753100
basic mass;merge sort;2900;1421160
basic mass;heap sort;2900;371680
basic mass;shell(Ciur) sort;2900;169530
basic mass;shell sort;2900;230640
basic mass;bubble sort;3000;28261660
basic mass;bubble(Ayverson1) sort;3000;43765730
basic mass;bubble(Ayverson2) sort;3000;27271970
basic mass;selection sort;3000;14577670
basic mass;insertion sort;3000;8530470
basic mass;binary insertion sort;3000;6521830
basic mass;counting sort;3000;21240
basic mass;radix sort;3000;38960
basic mass;quick sort;3000;1028100
basic mass;merge sort;3000;1168210
basic mass;heap sort;3000;387250
basic mass;shell(Ciur) sort;3000;191350
basic mass;shell sort;3000;280710
basic mass;bubble sort;3100;31943790
basic mass;bubble(Ayverson1) sort;3100;48354410
basic mass;bubble(Ayverson2) sort;3100;27768810
basic mass;selection sort;3100;16783830
basic mass;insertion sort;3100;9950460
basic mass;binary insertion sort;3100;7522660
basic mass;counting sort;3100;23420
basic mass;radix sort;3100;56100
basic mass;quick sort;3100;1499760
basic mass;merge sort;3100;1179830
basic mass;heap sort;3100;408720
basic mass;shell(Ciur) sort;3100;185740
basic mass;shell sort;3100;262820
basic mass;bubble sort;3200;32929940
basic mass;bubble(Ayverson1) sort;3200;49818010
basic mass;bubble(Ayverson2) sort;3200;30662050
basic mass;selection sort;3200;15799700
basic mass;insertion sort;3200;9647860
basic mass;binary insertion sort;3200;7025510
basic mass;counting sort;3200;22310
basic mass;radix sort;3200;41720
basic mass;quick sort;3200;1165540
basic mass;merge sort;3200;1192790
basic mass;heap sort;3200;444340
basic mass;shell(Ciur) sort;3200;193090
basic mass;shell sort;3200;304920
basic mass;bubble sort;3300;36576230
basic mass;bubble(Ayverson1) sort;3300;55234070
basic mass;bubble(Ayverson2) sort;3300;33427070
basic mass;selection sort;3300;17997180
basic mass;insertion sort;3300;10830990
basic mass;binary insertion sort;3300;8157440
basic mass;counting sort;3300;24230
basic mass;radix sort;3300;41520
basic mass;quick sort;3300;1489570
basic mass;merge sort;3300;1289050
basic mass;heap sort;3300;448280
basic mass;shell(Ciur) sort;3300;196920
basic mass;shell sort;3300;284100
basic mass;bubble sort;3400;38278260
basic mass;bubble(Ayverson1) sort;3400;55927750
basic mass;bubble(Ayverson2) sort;3400;34213100
basic mass;selection sort;3400;18589170
basic mass;insertion sort;3400;10902220
basic mass;binary insertion sort;3400;8499640
basic mass;counting sort;3400;24820
basic mass;radix sort;3400;41940
basic mass;quick sort;3400;1257110
basic mass;merge sort;3400;1246600
basic mass;heap sort;3400;620670
basic mass;shell(Ciur) sort;3400;195660
basic mass;shell sort;3400;281830
basic mass;bubble sort;3500;41367530
basic mass;bubble(Ayverson1) sort;3500;60775560
basic mass;bubble(Ayverson2) sort;3500;36281900
basic mass;selection sort;3500;19122240
basic mass;insertion sort;3500;12537350
basic mass;binary insertion sort;3500;8624650
basic mass;counting sort;3500;25480
basic mass;radix sort;3500;45050
basic mass;quick sort;3500;1478680
basic mass;merge sort;3500;1606430
basic mass;heap sort;3500;508150
basic mass;shell(Ciur) sort;3500;216470
basic mass;shell sort;3500;277630
basic mass;bubble sort;3600;43212240
basic mass;bubble(Ayverson1) sort;3600;62519210
basic mass;bubble(Ayverson2) sort;3600;38507100
basic mass;selection sort;3600;21315950
basic mass;insertion sort;3600;12994490
basic mass;binary insertion sort;3600;9269940
basic mass;counting sort;3600;27920
basic mass;radix sort;3600;76640
basic mass;quick sort;3600;1793900
basic mass;merge sort;3600;1365010
basic mass;heap sort;3600;497440
basic mass;shell(Ciur) sort;3600;229530
basic mass;shell sort;3600;358000
basic mass;bubble sort;3700;46752540
basic mass;bubble(Ayverson1) sort;3700;67440680
basic mass;bubble(Ayverson2) sort;3700;40859700
basic mass;selection sort;3700;23127440
basic mass;insertion sort;3700;15121950
basic mass;binary insertion sort;3700;10119640
basic mass;counting sort;3700;30570
basic mass;radix sort;3700;77040
basic mass;quick sort;3700;2429350
basic mass;merge sort;3700;1269600
basic mass;heap sort;3700;777340
basic mass;shell(Ciur) sort;3700;238650
basic mass;shell sort;3700;287910
basic mass;bubble sort;3800;48548550
basic mass;bubble(Ayverson1) sort;3800;75832590
basic mass;bubble(Ayverson2) sort;3800;43188330
basic mass;selection sort;3800;22813810
basic mass;insertion sort;3800;14299320
basic mass;binary insertion sort;3800;10346440
basic mass;counting sort;3800;27930
basic mass;radix sort;3800;47600
basic mass;quick sort;3800;1647170
basic mass;merge sort;3800;1401510
basic mass;heap sort;3800;497690
basic mass;shell(Ciur) sort;3800;209480
basic mass;shell sort;3800;298370
basic mass;bubble sort;3900;51022840
